Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-04-04,2.250221318038052,2.2741598426980314,2.154467219398135,2.262190580368042,40387200,0.0,0.0
1995-04-05,2.2262823241097585,2.2741593633379256,2.178405284881592,2.178405284881592,12236800,0.0,0.0
1995-04-06,2.1784043131647883,2.2502198399724187,2.1784043131647883,2.2143120765686035,3776000,0.0,0.0
1995-04-07,2.2262823241097585,2.2262823241097585,2.178405284881592,2.178405284881592,1920800,0.0,0.0
1995-04-10,2.178404476331628,2.226281497789466,2.178404476331628,2.202342987060547,2047200,0.0,0.0
1995-04-11,2.178405589744693,2.2262826356731478,2.178405589744693,2.1903748512268066,4096800,0.0,0.0
1995-04-12,2.178405589744693,2.2023441127089205,2.178405589744693,2.1903748512268066,2457600,0.0,0.0
1995-04-13,2.178404476331628,2.202342987060547,2.178404476331628,2.202342987060547,2297600,0.0,0.0
1995-04-17,2.1784057440581144,2.262190580368042,2.1784057440581144,2.262190580368042,2233600,0.0,0.0
1995-04-18,2.2143118242000015,2.2621888366151364,2.2023425710962177,2.2502195835113525,2441600,0.0,0.0
1995-04-19,2.2023438044956754,2.2262823241097585,2.1544667652675082,2.178405284881592,1422400,0.0,0.0
1995-04-20,2.15446652003697,2.15446652003697,2.082650969369071,2.0946202278137207,1023200,0.0,0.0
1995-04-21,2.0826507760159796,2.1544663200165304,2.0826507760159796,2.1424970626831055,2803200,0.0,0.0
1995-04-24,2.1065895557403564,2.1544665910980916,2.1065895557403564,2.1065895557403564,644800,0.0,0.0
1995-04-25,2.1065893597073027,2.154466390609741,2.1065893597073027,2.154466390609741,484800,0.0,0.0
1995-04-26,2.1065895557403564,2.1544665910980916,2.1065895557403564,2.1065895557403564,151200,0.0,0.0
1995-04-27,2.1065896923622387,2.1544667308250167,2.1065896923622387,2.130528211593628,3552000,0.0,0.0
1995-04-28,2.130528142896749,2.1544666613562633,2.118558883666992,2.118558883666992,1076000,0.0,0.0
1995-05-01,2.1544666613562633,2.1544666613562633,2.118558883666992,2.118558883666992,2287200,0.0,0.0
1995-05-02,2.1185589858463834,2.214313064302717,2.1185589858463834,2.178405284881592,1212000,0.0,0.0
1995-05-03,2.1544670667804655,2.214313374191034,2.1305285438162382,2.1903748512268066,791200,0.0,0.0
1995-05-04,2.178404906060961,2.2143126792377896,2.154466390609741,2.154466390609741,1011200,0.0,0.0
1995-05-05,2.154466390609741,2.20234342151218,2.154466390609741,2.154466390609741,164000,0.0,0.0
1995-05-08,2.154466390609741,2.2143126792377896,2.154466390609741,2.154466390609741,59200,0.0,0.0
1995-05-09,2.1544665910980916,2.1784051087769596,2.0946202969009224,2.1065895557403564,592800,0.0,0.0
