,y_actual,y_predict
2334,27.823823928833008,29.55676401902173
2335,27.96446418762207,29.727639725008704
2336,27.987987518310547,29.945491302092353
2337,27.76426315307617,30.102651940330095
2338,28.045795440673828,30.14474787667928
2339,27.85585594177246,30.21416996209395
2340,27.65265274047852,30.222578007960255
2341,27.960960388183597,30.15902744220752
2342,28.5,30.167936851232813
2343,28.559309005737305,30.31625307196587
2344,28.284284591674805,30.4598787618115
2345,28.28278350830078,30.52496498435121
2346,28.10260391235352,30.559481052496718
2347,28.76376342773437,30.526864593653602
2348,28.74424362182617,30.627980258318733
2349,28.93443489074707,30.722996004549497
2350,28.792041778564453,30.861314672512197
2351,29.12162208557129,30.97266000252129
2352,29.15465545654297,31.07065050349539
2353,29.031532287597656,31.172969439742094
2354,28.12387466430664,31.243605938141872
2355,27.55830764770508,31.090318794532468
2356,28.10335350036621,30.6834328806035
2357,27.70070075988769,30.365148978271417
2358,28.413162231445312,30.154331340618324
2359,29.553804397583008,30.290518286705026
2360,28.36411476135254,30.62619763375344
2361,28.48248291015625,30.6274528985515
2362,28.60860824584961,30.597382250415695
2363,29.02802848815918,30.61260697834366
2364,29.465465545654297,30.749480977648236
2365,29.35260391235352,31.024382111523064
2366,29.784284591674805,31.21401437035799
2367,29.69694709777832,31.4710855447787
2368,30.027528762817383,31.65363372786717
2369,30.100099563598636,31.84538842407515
2370,30.30230140686035,32.01859082649995
2371,30.08858871459961,32.183019373642445
2372,30.13288307189941,32.26339717253132
2373,30.124874114990234,32.31159302731487
2374,30.343093872070312,32.3637385096509
2375,30.53053092956543,32.44344782432779
2376,30.5347843170166,32.561676684819744
2377,30.510761260986328,32.688822381939346
2378,30.42167282104492,32.74525173393385
2379,30.097347259521484,32.78655105993042
2380,30.403152465820312,32.66553870545578
2381,30.48698616027832,32.61852012564556
2382,30.520771026611328,32.649027145419744
2383,30.400150299072266,32.73097031150502
2384,30.31957054138184,32.787488794727786
2385,30.0297794342041,32.773677168147934
2386,30.21271324157715,32.69487773475958
2387,29.756256103515625,32.60842415714399
2388,29.349348068237305,32.44533629222665
2389,29.832332611083984,32.20203589257284
2390,30.311811447143555,32.09042131197836
2391,30.011260986328125,32.144431122505594
2392,29.958959579467773,32.199523506076126
2393,29.60560607910156,32.25635209169723
2394,28.97722625732422,32.24645666845926
2395,28.996997833251957,31.976688007812005
2396,28.327577590942383,31.685188039573465
2397,27.884885787963867,31.344795878830556
2398,28.031782150268555,30.970752965616544
2399,27.890640258789062,30.61125329781439
2400,28.40065193176269,30.40117099279448
2401,28.405906677246094,30.408139940704427
2402,28.575000762939453,30.459317977833667
2403,27.262500762939453,30.589241598234185
2404,27.0314998626709,30.465206209600904
2405,27.8754997253418,30.144948421942875
2406,28.351999282836918,30.008284252404838
2407,27.33449935913086,30.09996686207862
2408,26.88800048828125,30.051182369808405
2409,27.26000022888184,29.845979999535988
2410,27.434999465942383,29.71652617498445
2411,28.19499969482422,29.683828012515423
2412,27.16699981689453,29.853507874523178
2413,26.9685001373291,29.7899814484781
2414,27.274999618530277,29.587959948914378
2415,26.8754997253418,29.50497506159876
2416,26.722000122070312,29.387245707365206
2417,26.155000686645508,29.2997132705075
2418,26.14900016784668,29.105288351252756
2419,26.816499710083008,28.89736005091591
2420,26.74399948120117,28.82845047006376
2421,26.92650032043457,28.849091777009395
2422,26.693500518798828,28.95468071519306
2423,26.76650047302246,29.029467386408914
2424,26.12849998474121,29.069617290940986
2425,25.899999618530277,28.962875217491646
2426,26.00849914550781,28.78296197633875
2427,26.33099937438965,28.596001797451176
2428,26.921499252319336,28.528243494964112
2429,27.07699966430664,28.665956813334848
2430,26.72050094604492,28.901591927357895
2431,26.45599937438965,29.030202719042098
2432,26.415000915527344,29.04344984784294
2433,26.941499710083008,28.979980985716114
2434,27.019500732421875,29.01072940256685
2435,27.48500061035156,29.114559855892875
2436,27.772499084472656,29.315335375161478
2437,28.190000534057617,29.590700734183518
2438,28.74349975585937,29.90663380037012
2439,28.522499084472656,30.26986398145527
2440,28.527999877929688,30.539287258592996
2441,28.582500457763672,30.73969139774383
2442,28.21699905395508,30.861637773214657
2443,27.725500106811523,30.817748070896645
2444,27.6879997253418,30.643243981159063
2445,28.24650001525879,30.44156600820428
2446,28.30150032043457,30.41411544679934
2447,28.536500930786133,30.468335087093113
2448,28.415000915527344,30.59690688386495
2449,28.375,30.692763806062462
2450,27.975000381469727,30.738956065110646
2451,28.01749992370605,30.680166592467717
2452,27.614999771118164,30.59553649123038
2453,27.5310001373291,30.428562133380577
2454,28.03300094604492,30.250323816558822
2455,28.249500274658203,30.234083364008757
2456,28.326000213623047,30.310264567566836
2457,28.714500427246094,30.410916007084754
2458,28.62700080871582,30.54975646411292
2459,29.296499252319336,30.723157554900727
2460,29.238500595092773,30.985060384653618
2461,29.284500122070312,31.21951079610098
2462,29.23349952697754,31.410882970787657
2463,29.574499130249023,31.522046324539044
2464,29.53899955749512,31.675855257213914
2465,29.65399932861328,31.794169535132955
2466,29.538000106811523,31.904792530812987
2467,28.920000076293945,31.969141563818926
2468,29.167999267578125,31.84705035010217
2469,29.00200080871582,31.72789675311697
2470,29.332500457763672,31.583214486836287
2471,29.71299934387207,31.575864874305626
2472,29.652999877929688,31.708688973425925
2473,29.5310001373291,31.820862481097645
2474,29.041000366210938,31.904922513854206
2475,30.25550079345703,31.849328767124685
2476,29.92200088500977,32.04696055369637
2477,30.17849922180176,32.10351060422915
2478,30.25950050354004,32.24166400803944
2479,30.15049934387207,32.38234093974998
2480,29.90399932861328,32.489250134252316
2481,29.951000213623047,32.48846466530323
2482,29.69750022888184,32.450596891594856
2483,29.77199935913086,32.36156593596195
2484,28.977500915527344,32.30492118349914
2485,28.68000030517578,32.08524241623606
2486,29.113500595092773,31.783724469320685
2487,28.65699958801269,31.6073226271813
2488,28.72450065612793,31.42061312987322
2489,28.590499877929688,31.284983253963173
2490,28.89699935913086,31.187074456614983
2491,28.862499237060547,31.191233913934003
2492,28.606000900268555,31.213875102813827
2493,29.22800064086914,31.18383973578921
2494,29.232500076293945,31.287057411920916
2495,29.18549919128418,31.400072095559384
2496,29.63500022888184,31.509597662991407
2497,29.855499267578125,31.679429790847447
2498,29.77050018310547,31.88202692959371
2499,29.621000289916992,32.02987706827897
2500,29.62700080871582,32.093316219996375
2501,29.528499603271484,32.11017316354194
